İlçe,Mahalle,Oda Sayısı,Salon Sayısı,Banyo Sayısı,Brüt M2,Kat Sayısı,Bulunduğu Kat,Kat Index,Bina Yaşı,Eşya Durumu,Kullanım Durumu,Doğu,Batı,Kuzey,Güney,Kira
Odunpazarı,Emek Mah.,3,1,2,130,3,1,0.3333333333333333,2,0,0,1,1,0,0,15000
Odunpazarı,Akarbaşı Mah.,2,1,1,130,8,6,0.75,25,0,0,1,0,0,0,17500
Odunpazarı,Büyükdere Mah.,1,1,1,55,3,1,0.3333333333333333,11,1,0,0,1,0,0,10000
Tepebaşı,Ömerağa Mah.,5,1,2,200,7,7,1.0,25,0,0,0,0,0,1,19000
Tepebaşı,Çamlıca Mah.,4,1,1,150,4,4,1.0,6,0,0,1,1,0,0,16000
Tepebaşı,Batıkent Mah.,3,1,1,145,3,2,0.6666666666666666,14,0,0,0,0,0,0,20000
Odunpazarı,Gökmeydan Mah.,3,1,1,130,2,1,0.5,29,0,0,0,0,1,1,10500
Odunpazarı,Gökmeydan Mah.,3,1,1,135,4,0,0.0,20,0,0,1,0,1,1,15000
Tepebaşı,Yenibağlar Mah.,1,0,1,35,4,4,1.0,5,0,0,0,0,0,0,8000
Odunpazarı,Akarbaşı Mah.,3,1,1,155,5,3,0.6,20,0,0,0,0,0,0,19000
Odunpazarı,Sultandere 75. Yıl Mah.,2,1,1,100,3,3,1.0,18,0,0,0,0,0,0,12000
Tepebaşı,Şirintepe Mah.,2,1,1,120,3,1,0.3333333333333333,10,0,0,0,0,0,0,12500
Tepebaşı,Çamlıca Mah.,2,1,1,105,3,1,0.3333333333333333,10,0,0,0,0,0,0,17500
Tepebaşı,Cumhuriye Mah.,2,1,1,85,4,4,1.0,32,0,0,0,0,1,1,11000
Tepebaşı,Bahçelievler Mah.,1,1,1,45,4,1,0.25,5,0,0,1,0,0,0,7500
Odunpazarı,Vişnelik Mah.,2,1,1,95,7,6,0.8571428571428571,30,0,0,0,0,0,1,15000
Tepebaşı,Eskibağlar Mah.,1,0,1,40,4,2,0.5,11,0,0,0,0,0,0,10500
Odunpazarı,Yıldıztepe Mah.,3,1,3,130,3,3,1.0,5,1,0,0,0,0,0,18000
Odunpazarı,Büyükdere Mah.,1,1,1,55,2,1,0.5,8,1,0,1,0,1,0,7750
Odunpazarı,71 Evler Mah.,3,1,1,140,4,2,0.5,13,0,0,1,1,1,1,14000
Odunpazarı,Büyükdere Mah.,1,1,1,55,3,2,0.6666666666666666,13,0,0,0,0,0,1,10000
Odunpazarı,71 Evler Mah.,2,1,1,95,3,1,0.3333333333333333,3,0,0,0,1,0,1,14000
Tepebaşı,Zincirlikuyu Mah.,3,1,2,155,3,3,1.0,4,0,1,1,1,0,1,26000
Tepebaşı,Hoşnudiye Mah.,1,1,2,65,7,1,0.14285714285714285,26,0,0,1,0,0,1,17500
Odunpazarı,Akçağlan Mah.,3,1,1,100,6,1,0.16666666666666666,25,0,0,0,0,1,1,14000
Odunpazarı,Kurtuluş Mah.,2,1,1,115,7,6,0.8571428571428571,28,0,0,1,1,0,0,17500
Odunpazarı,Kırmızıtoprak Mah.,3,1,1,130,3,2,0.6666666666666666,26,0,0,1,0,1,1,18000
Odunpazarı,Büyükdere Mah.,1,1,1,60,2,1,0.5,10,1,0,1,1,0,1,13000
Tepebaşı,Ömerağa Mah.,3,1,1,120,4,4,1.0,20,0,0,0,0,0,1,13000
Tepebaşı,Batıkent Mah.,1,1,1,65,3,3,1.0,10,0,0,0,0,0,0,8000
Odunpazarı,Kırmızıtoprak Mah.,2,1,1,110,4,1,0.25,8,0,0,1,0,0,1,21000
Odunpazarı,Gökmeydan Mah.,2,1,1,95,7,1,0.14285714285714285,30,0,0,0,0,1,1,10000
Tepebaşı,Ömerağa Mah.,3,1,1,140,4,3,0.75,20,0,0,1,1,0,0,13000
Tepebaşı,Tunalı Mah.,2,1,1,90,4,4,1.0,15,0,1,0,0,0,0,12000
Tepebaşı,Uluönder Mah.,2,1,1,75,3,3,1.0,16,1,0,1,0,0,1,13000
Tepebaşı,Kumlubel Mah.,2,1,1,95,4,1,0.25,4,0,0,0,1,0,1,15000
Tepebaşı,Yenibağlar Mah.,1,1,1,60,4,4,1.0,11,1,0,1,0,1,0,12000
Odunpazarı,Emek Mah.,3,1,1,130,4,1,0.25,8,0,0,1,1,0,0,14000
Tepebaşı,Batıkent Mah.,2,1,1,115,3,3,1.0,9,0,0,1,1,0,0,12000
Tepebaşı,Şirintepe Mah.,2,1,1,100,3,1,0.3333333333333333,6,0,0,1,1,0,0,14000
Tepebaşı,Çamlıca Mah.,2,1,1,100,4,1,0.25,2,0,0,0,0,0,0,13000
Tepebaşı,Güllük Mah.,3,1,1,130,4,4,1.0,20,0,0,0,0,0,0,18000
Odunpazarı,Deliklitaş Mah.,3,1,1,135,7,4,0.5714285714285714,30,0,0,0,0,1,1,13000
Odunpazarı,71 Evler Mah.,3,1,1,125,3,1,0.3333333333333333,3,0,0,0,0,0,0,18000
Tepebaşı,Yenibağlar Mah.,1,1,1,55,4,4,1.0,10,0,0,0,1,0,0,11000
Odunpazarı,Göztepe Mah.,3,1,1,125,3,3,1.0,4,0,0,1,1,1,0,24500
Tepebaşı,Batıkent Mah.,3,1,1,120,4,2,0.5,13,0,0,1,1,0,0,15000
Tepebaşı,Ömerağa Mah.,3,1,1,130,4,2,0.5,20,0,0,0,0,0,1,14000
Tepebaşı,Şirintepe Mah.,1,1,1,60,3,1,0.3333333333333333,12,1,0,0,0,0,1,12500
Tepebaşı,Batıkent Mah.,2,1,2,107,3,2,0.6666666666666666,10,0,0,0,0,0,0,15250
Odunpazarı,Büyükdere Mah.,2,1,1,100,2,3,1.5,7,0,0,0,1,0,1,15000
Odunpazarı,Büyükdere Mah.,1,1,1,60,3,2,0.6666666666666666,15,0,0,0,0,1,0,10000
Tepebaşı,Hacı Seyit Mah.,2,1,1,95,3,1,0.3333333333333333,18,0,0,1,1,0,0,8000
Tepebaşı,Bahçelievler Mah.,2,1,1,90,4,2,0.5,14,1,0,1,0,0,1,18000
Tepebaşı,Kumlubel Mah.,2,1,1,95,4,4,1.0,2,1,0,0,0,0,0,20000
Odunpazarı,Kırmızıtoprak Mah.,2,1,1,110,4,1,0.25,4,0,0,0,0,0,1,20000
Tepebaşı,Eskibağlar Mah.,1,1,1,55,4,4,1.0,12,0,0,1,1,0,1,11000
Tepebaşı,Hoşnudiye Mah.,1,1,1,60,3,1,0.3333333333333333,3,1,0,0,0,0,0,18000
Tepebaşı,Şirintepe Mah.,1,1,1,55,3,3,1.0,8,1,0,0,1,1,1,11500
Odunpazarı,Alanönü Mah.,1,1,1,40,7,5,0.7142857142857143,11,0,0,0,0,0,0,11000
Tepebaşı,Şirintepe Mah.,1,1,1,60,3,1,0.3333333333333333,5,1,1,1,0,0,1,12500
Tepebaşı,Esentepe Mah.,1,1,1,60,3,3,1.0,1,0,0,0,0,0,0,10500
Tepebaşı,Tunalı Mah.,1,1,1,63,4,4,1.0,8,1,0,0,0,0,0,8500
Tepebaşı,Mustafa Kemal Paşa Mah.,2,1,1,90,3,2,0.6666666666666666,32,1,0,0,0,0,1,15000
Odunpazarı,Emek Mah.,3,1,1,135,4,4,1.0,5,0,0,0,0,1,1,18000
Odunpazarı,Büyükdere Mah.,3,1,2,130,3,3,1.0,13,0,0,1,1,0,0,15000
Odunpazarı,Akarbaşı Mah.,2,1,1,95,5,0,0.0,15,0,0,1,1,0,0,15000
Odunpazarı,71 Evler Mah.,1,1,1,60,3,2,0.6666666666666666,4,0,1,1,0,0,0,10000
Odunpazarı,Kurtuluş Mah.,1,1,1,60,4,1,0.25,8,0,0,0,0,1,1,12500
Odunpazarı,Akarbaşı Mah.,3,1,1,125,5,3,0.6,25,0,0,0,0,0,0,18000
Tepebaşı,Batıkent Mah.,2,1,1,120,3,1,0.3333333333333333,3,0,0,0,0,1,1,22500
Tepebaşı,Sütlüce Mah.,2,0,1,65,2,1,0.5,6,1,1,1,0,0,1,13500
Tepebaşı,Batıkent Mah.,3,1,1,140,8,2,0.25,15,0,1,1,1,0,1,16000
Tepebaşı,Şirintepe Mah.,2,0,1,60,3,3,1.0,6,1,0,1,1,0,0,10000
Tepebaşı,Tunalı Mah.,2,1,1,90,4,1,0.25,15,0,0,0,0,0,0,13500
Odunpazarı,Sümer Mah.,3,1,1,140,10,1,0.1,25,0,0,1,1,1,0,20000
Tepebaşı,Fatih Mah.,2,1,1,110,3,3,1.0,5,0,0,0,0,1,1,15000
Tepebaşı,Batıkent Mah.,3,1,2,130,3,1,0.3333333333333333,2,0,0,0,0,0,0,28500
Tepebaşı,Aşağı Söğütönü Mah.,3,1,2,185,3,3,1.0,5,0,0,0,1,1,1,44000
Odunpazarı,Sümer Mah.,3,1,1,135,3,1,0.3333333333333333,17,0,0,0,0,0,1,20000
Tepebaşı,Çamlıca Mah.,2,1,1,100,2,2,1.0,12,0,1,0,0,0,1,13000
Tepebaşı,Güllük Mah.,1,1,1,55,3,1,0.3333333333333333,8,0,1,0,0,0,0,10500
Tepebaşı,Şarhöyük Mah.,3,1,2,150,7,1,0.14285714285714285,5,0,0,1,1,0,0,17500
Odunpazarı,Kurtuluş Mah.,3,1,1,120,7,7,1.0,25,0,1,0,1,0,1,14000
Odunpazarı,71 Evler Mah.,3,1,1,150,2,2,1.0,14,1,0,1,1,0,0,13000
Tepebaşı,Hacı Ali Bey Mah.,3,1,1,165,7,1,0.14285714285714285,10,0,0,0,1,0,1,25000
Odunpazarı,Vişnelik Mah.,3,1,1,130,4,2,0.5,30,0,0,1,0,0,0,15500
Tepebaşı,Mustafa Kemal Paşa Mah.,1,1,1,70,4,2,0.5,15,1,0,0,0,0,0,10000
Odunpazarı,Kırmızıtoprak Mah.,1,1,1,80,3,3,1.0,40,0,0,0,0,0,1,11000
Odunpazarı,Kırmızıtoprak Mah.,2,1,1,104,4,4,1.0,26,0,0,1,1,0,1,13500
Odunpazarı,Büyükdere Mah.,1,1,1,55,3,3,1.0,11,1,0,0,1,0,1,13000
Tepebaşı,Batıkent Mah.,3,1,1,120,4,2,0.5,20,0,0,1,0,0,1,15000
Odunpazarı,Vadişehir Mah.,2,1,1,90,4,3,0.75,13,0,0,0,0,1,1,13750
Tepebaşı,Yenibağlar Mah.,3,1,1,130,4,3,0.75,15,0,0,0,0,0,0,15000
Tepebaşı,Yenibağlar Mah.,1,1,1,45,3,2,0.6666666666666666,15,0,0,0,0,0,1,9000
Odunpazarı,Kırmızıtoprak Mah.,2,1,1,95,3,0,0.0,10,0,0,1,0,0,1,15000
Tepebaşı,Mamure Mah.,3,1,1,150,8,4,0.5,20,1,0,0,0,0,0,16000
Tepebaşı,Sütlüce Mah.,1,1,1,75,3,3,1.0,7,0,0,0,0,0,0,8000
Tepebaşı,Zafer Mah.,3,1,1,135,3,1,0.3333333333333333,5,1,1,0,0,1,1,27000
Tepebaşı,Kumlubel Mah.,2,1,1,110,4,2,0.5,40,0,0,0,1,0,0,10000
Tepebaşı,Fatih Mah.,2,1,1,100,4,1,0.25,12,0,0,0,0,0,1,14000
Tepebaşı,Yenibağlar Mah.,1,1,1,50,4,3,0.75,17,1,0,0,0,0,1,13000
Odunpazarı,71 Evler Mah.,2,1,2,100,1,0,0.0,2,0,0,0,0,1,1,15000
Tepebaşı,Boyacıoğlu Mah.,3,1,2,279,3,0,0.0,12,0,0,1,1,0,1,25000
Odunpazarı,İstiklal Mah.,3,1,1,100,2,2,1.0,25,0,0,1,1,0,0,17000
Odunpazarı,Sümer Mah.,4,1,2,230,3,3,1.0,21,0,0,1,1,1,0,40000
Odunpazarı,Akarbaşı Mah.,2,1,1,85,4,4,1.0,20,0,0,0,0,0,0,13000
Tepebaşı,Cumhuriye Mah.,2,1,1,90,2,3,1.5,30,1,1,1,1,0,0,17000
Tepebaşı,Zafer Mah.,2,1,1,90,4,3,0.75,5,0,1,0,0,0,0,12000
Odunpazarı,Gültepe Mah.,2,1,1,100,2,1,0.5,15,0,0,0,0,0,0,12000
Tepebaşı,Kumlubel Mah.,2,1,1,100,4,3,0.75,10,0,0,0,0,0,1,15000
Odunpazarı,Kırmızıtoprak Mah.,2,1,1,90,5,5,1.0,30,1,0,1,0,0,1,15000
Odunpazarı,Büyükdere Mah.,3,0,2,120,3,3,1.0,15,1,0,1,1,0,0,21500
Tepebaşı,Zafer Mah.,2,1,1,85,4,4,1.0,10,0,0,1,0,0,1,14000
Odunpazarı,Emek Mah.,2,1,1,95,3,1,0.3333333333333333,10,0,0,1,1,1,1,13000
Tepebaşı,Ömerağa Mah.,3,1,1,128,1,1,1.0,12,0,0,0,1,0,0,17000
Tepebaşı,Yenibağlar Mah.,2,0,1,55,4,4,1.0,11,0,1,1,1,1,0,9500
Odunpazarı,Büyükdere Mah.,1,0,1,30,3,1,0.3333333333333333,10,1,0,0,0,1,0,8500
Tepebaşı,Güllük Mah.,1,1,1,60,4,2,0.5,10,0,0,0,0,0,1,12000
Tepebaşı,Esentepe Mah.,2,1,1,95,2,1,0.5,20,1,0,0,0,0,0,14000
Tepebaşı,Ertuğrulgazi Mah.,1,1,1,50,3,3,1.0,5,1,0,0,0,1,0,10500
Odunpazarı,Emek Mah.,2,1,1,100,4,3,0.75,7,0,0,0,0,0,0,14000
Tepebaşı,Ertuğrulgazi Mah.,3,1,2,140,3,1,0.3333333333333333,9,0,0,0,0,1,1,28000
Tepebaşı,Tunalı Mah.,2,1,1,100,4,0,0.0,20,0,0,0,1,0,0,12000
Odunpazarı,Gökmeydan Mah.,3,1,1,130,4,0,0.0,31,0,0,1,0,0,1,11000
Tepebaşı,Güllük Mah.,1,1,1,50,4,0,0.0,15,0,0,0,0,1,0,10000
Tepebaşı,Batıkent Mah.,2,0,1,50,3,1,0.3333333333333333,11,1,0,0,1,0,1,13000
Odunpazarı,Akarbaşı Mah.,1,1,1,60,4,0,0.0,5,0,0,0,0,1,0,15000
Odunpazarı,Gökmeydan Mah.,2,1,1,100,4,1,0.25,8,1,0,0,0,1,0,25000
Tepebaşı,Eskibağlar Mah.,1,1,1,65,3,2,0.6666666666666666,5,0,0,0,0,1,1,11500
Odunpazarı,Kırmızıtoprak Mah.,2,1,1,100,4,1,0.25,32,0,0,0,0,0,1,11500
Tepebaşı,Şirintepe Mah.,1,1,1,60,3,2,0.6666666666666666,6,1,0,0,0,0,1,8500
Tepebaşı,Yenibağlar Mah.,3,1,1,95,4,3,0.75,14,0,1,0,0,1,1,18000
Tepebaşı,Yeşiltepe Mah.,1,1,1,45,3,2,0.6666666666666666,5,0,0,0,0,0,0,7000
Tepebaşı,Bahçelievler Mah.,1,1,1,55,5,1,0.2,7,0,0,1,0,0,1,11000
Odunpazarı,Kırmızıtoprak Mah.,2,1,1,120,4,1,0.25,15,0,1,1,0,0,1,30000
Tepebaşı,Hoşnudiye Mah.,3,1,1,110,5,3,0.6,16,0,0,0,0,0,0,15500
Tepebaşı,Yenibağlar Mah.,1,1,1,50,4,1,0.25,5,0,0,0,1,0,0,10000
Odunpazarı,Büyükdere Mah.,3,1,2,140,8,3,0.375,21,0,0,1,1,1,0,18000
Odunpazarı,71 Evler Mah.,2,1,1,91,3,1,0.3333333333333333,7,0,0,0,0,0,0,13500
Tepebaşı,Hoşnudiye Mah.,2,0,1,75,4,1,0.25,18,1,0,1,1,0,0,15500
Tepebaşı,Çamlıca Mah.,2,1,1,95,3,2,0.6666666666666666,1,0,0,0,0,1,1,17000
Odunpazarı,Karapınar Mah.,3,1,1,135,8,0,0.0,5,0,0,0,0,0,0,14000
Tepebaşı,Şirintepe Mah.,1,1,1,55,4,3,0.75,5,1,0,0,0,0,0,10000
Tepebaşı,Tunalı Mah.,3,1,1,120,3,3,1.0,17,0,0,0,0,1,1,14000
Odunpazarı,Gökmeydan Mah.,3,1,1,120,4,3,0.75,30,0,0,1,0,1,1,16000
Odunpazarı,Büyükdere Mah.,3,1,2,192,11,6,0.5454545454545454,4,0,0,0,1,0,1,40000
Tepebaşı,Kumlubel Mah.,3,1,3,155,4,2,0.5,5,0,0,0,0,0,0,20500
Odunpazarı,Kırmızıtoprak Mah.,2,1,1,105,4,0,0.0,14,0,0,1,0,0,0,16000
Tepebaşı,Şeker Mah.,3,1,1,140,4,1,0.25,8,0,0,0,0,0,1,21000
Odunpazarı,Kurtuluş Mah.,3,1,1,145,7,7,1.0,28,0,0,0,0,0,0,15000
Odunpazarı,Büyükdere Mah.,1,1,1,70,3,3,1.0,5,1,1,0,0,0,0,13000
Tepebaşı,Şirintepe Mah.,3,0,1,135,4,4,1.0,16,0,0,0,0,0,0,20000
Odunpazarı,Kurtuluş Mah.,3,1,1,135,7,7,1.0,34,0,0,1,1,0,0,13500
Tepebaşı,Ertuğrulgazi Mah.,3,1,1,125,3,1,0.3333333333333333,10,0,0,0,0,0,0,19000
Tepebaşı,Yenibağlar Mah.,1,1,1,55,4,1,0.25,13,1,0,0,0,1,1,13000
Tepebaşı,Hoşnudiye Mah.,4,1,2,290,7,4,0.5714285714285714,33,0,1,0,0,1,1,28000
Odunpazarı,Büyükdere Mah.,1,1,1,60,3,3,1.0,12,1,0,1,1,0,0,15000
Odunpazarı,Büyükdere Mah.,2,0,1,60,3,3,1.0,12,0,0,1,0,0,0,8500
Tepebaşı,Uluönder Mah.,1,0,1,42,4,2,0.5,8,1,0,0,1,0,0,12500
Odunpazarı,Emek Mah.,3,1,1,135,4,1,0.25,12,0,0,1,1,0,1,13000
Odunpazarı,71 Evler Mah.,3,1,1,130,2,1,0.5,14,0,0,1,1,0,0,13000
Tepebaşı,Yenibağlar Mah.,1,1,1,50,4,1,0.25,11,0,0,0,0,0,0,8000
Odunpazarı,Büyükdere Mah.,1,1,1,55,2,2,1.0,13,1,0,1,0,0,0,11500
Tepebaşı,Ömerağa Mah.,7,2,2,250,7,7,1.0,25,0,0,0,1,0,1,21000
Tepebaşı,Şirintepe Mah.,1,1,1,60,3,2,0.6666666666666666,11,0,0,0,0,0,1,10500
Odunpazarı,Gültepe Mah.,1,1,1,70,4,0,0.0,20,0,0,0,1,0,1,8000
Odunpazarı,Yıldıztepe Mah.,1,1,1,65,3,3,1.0,7,1,0,0,0,0,1,10000
Odunpazarı,Yıldıztepe Mah.,2,1,1,110,3,3,1.0,5,0,0,0,0,0,0,14750
Odunpazarı,Gültepe Mah.,2,1,1,90,3,2,0.6666666666666666,5,0,0,0,0,0,0,15500
Odunpazarı,Akarbaşı Mah.,3,1,1,125,9,5,0.5555555555555556,26,0,0,0,0,0,0,27000
Odunpazarı,Kurtuluş Mah.,4,1,1,210,4,4,1.0,4,0,0,0,0,0,0,42000
Tepebaşı,Ertuğrulgazi Mah.,2,0,1,50,3,1,0.3333333333333333,10,0,0,1,0,0,1,8000
Tepebaşı,Batıkent Mah.,3,1,1,140,3,3,1.0,11,0,0,0,1,0,1,17000
Odunpazarı,Gökmeydan Mah.,3,1,1,130,7,2,0.2857142857142857,30,0,1,0,1,0,0,13000
Odunpazarı,Akarbaşı Mah.,3,1,1,145,4,4,1.0,26,0,0,1,1,0,1,18500
Tepebaşı,Çamlıca Mah.,2,1,1,110,3,1,0.3333333333333333,4,0,0,1,0,1,0,15000
Odunpazarı,Akarbaşı Mah.,3,1,1,115,4,4,1.0,31,0,0,0,0,1,0,15500
Tepebaşı,Şarhöyük Mah.,2,1,1,110,3,2,0.6666666666666666,15,1,0,0,0,0,0,13000
Odunpazarı,Gökmeydan Mah.,2,1,1,110,4,4,1.0,10,0,0,0,0,0,1,17500
Tepebaşı,Tunalı Mah.,3,1,1,125,3,3,1.0,16,0,0,0,1,0,1,14500
Odunpazarı,Büyükdere Mah.,1,1,1,50,3,3,1.0,13,1,0,0,0,0,0,9000
Odunpazarı,Huzur Mah.,2,1,1,105,4,4,1.0,5,0,0,1,1,0,0,14000
Odunpazarı,Emek Mah.,3,1,1,135,3,3,1.0,5,0,0,0,0,0,0,14000
Odunpazarı,Büyükdere Mah.,2,1,1,65,4,1,0.25,7,0,0,0,0,0,0,11000
Odunpazarı,71 Evler Mah.,2,1,1,100,3,3,1.0,2,0,0,0,0,0,0,10000
Tepebaşı,Yenibağlar Mah.,1,1,1,60,3,1,0.3333333333333333,5,0,0,1,0,0,0,10000
Odunpazarı,71 Evler Mah.,1,1,1,55,3,3,1.0,5,0,0,1,0,0,1,12000
Odunpazarı,Akarbaşı Mah.,2,1,1,90,4,1,0.25,11,0,0,0,0,0,1,15000
Tepebaşı,Yenibağlar Mah.,1,1,1,60,5,3,0.6,11,0,0,0,1,0,0,11500
Tepebaşı,Kumlubel Mah.,2,1,1,90,4,4,1.0,2,0,1,0,1,1,0,16000
Tepebaşı,Fatih Mah.,2,1,1,100,4,4,1.0,8,0,0,1,1,0,0,12500
Tepebaşı,Tunalı Mah.,2,1,1,100,4,4,1.0,15,0,0,0,0,0,1,12000
Odunpazarı,Erenköy Mah.,3,1,1,110,4,3,0.75,5,0,0,0,0,0,0,13000
Tepebaşı,Batıkent Mah.,2,1,1,95,3,0,0.0,11,0,0,1,1,0,0,11250
Odunpazarı,Akarbaşı Mah.,3,1,1,140,5,2,0.4,35,0,0,0,0,0,1,17000
Tepebaşı,Eskibağlar Mah.,2,0,1,60,3,1,0.3333333333333333,12,1,0,0,0,0,1,13000
Tepebaşı,Bahçelievler Mah.,1,1,1,60,4,3,0.75,8,1,0,0,0,0,1,15000
Tepebaşı,Çamlıca Mah.,2,1,1,120,3,1,0.3333333333333333,5,0,0,1,1,1,1,15000
Odunpazarı,Emek Mah.,2,1,1,85,3,2,0.6666666666666666,4,0,0,0,1,0,0,13000
Odunpazarı,Akarbaşı Mah.,2,1,1,100,7,7,1.0,26,0,0,0,0,0,0,14000
Odunpazarı,Vişnelik Mah.,3,1,2,170,7,4,0.5714285714285714,6,0,1,1,0,1,1,36000
Tepebaşı,Şirintepe Mah.,2,0,1,60,3,2,0.6666666666666666,11,1,0,1,0,0,1,9000
Tepebaşı,Uluönder Mah.,2,1,1,110,5,3,0.6,31,0,0,0,1,0,0,13000
Tepebaşı,Yenibağlar Mah.,2,1,1,95,3,2,0.6666666666666666,30,1,0,0,1,0,0,13000
Odunpazarı,Büyükdere Mah.,1,1,1,60,2,2,1.0,6,0,0,1,0,0,0,12000
Tepebaşı,Çamlıca Mah.,3,1,1,135,3,2,0.6666666666666666,14,0,0,1,1,0,0,16000
Tepebaşı,Şirintepe Mah.,2,1,1,135,4,4,1.0,20,1,1,0,0,0,0,20000
Odunpazarı,Yenikent Mah.,3,1,1,120,5,4,0.8,30,0,0,1,0,0,1,10000
Tepebaşı,Tunalı Mah.,3,1,1,120,3,3,1.0,17,0,0,0,0,1,1,13000
Odunpazarı,Gökmeydan Mah.,3,1,1,120,4,0,0.0,20,0,0,0,0,0,1,13000
Odunpazarı,Sultandere 75. Yıl Mah.,3,1,1,120,5,2,0.4,17,0,0,0,0,0,0,15000
Tepebaşı,Eskibağlar Mah.,1,1,1,60,4,4,1.0,15,0,1,0,0,0,1,13500
Odunpazarı,Kırmızıtoprak Mah.,3,1,1,115,6,1,0.16666666666666666,25,0,0,1,0,0,1,15000
Odunpazarı,Yenidoğan Mah.,3,1,1,105,7,2,0.2857142857142857,33,0,0,1,0,0,1,15000
Tepebaşı,Şirintepe Mah.,1,1,1,55,3,2,0.6666666666666666,5,1,0,0,0,0,1,10000
Odunpazarı,Büyükdere Mah.,4,1,1,160,10,5,0.5,21,0,1,1,0,0,1,25000
Odunpazarı,Büyükdere Mah.,1,1,1,60,3,2,0.6666666666666666,15,0,0,0,0,0,0,10000
Odunpazarı,Kurtuluş Mah.,2,1,1,100,4,0,0.0,8,0,0,0,0,0,0,13000
Odunpazarı,Osmangazi Mah.,2,1,1,140,18,17,0.9444444444444444,5,0,0,0,0,0,0,29000
Odunpazarı,Deliklitaş Mah.,3,1,1,125,6,4,0.6666666666666666,31,0,0,1,0,1,0,15000
Tepebaşı,Güllük Mah.,2,0,1,65,4,4,1.0,11,1,1,0,1,0,0,12500
Tepebaşı,Ömerağa Mah.,3,0,1,130,4,4,1.0,15,0,1,0,0,0,0,15000
Odunpazarı,Büyükdere Mah.,1,1,1,55,2,2,1.0,15,0,0,0,1,1,0,8500
Odunpazarı,Yıldıztepe Mah.,2,1,1,100,3,2,0.6666666666666666,1,0,0,0,0,0,0,15000
Tepebaşı,Zafer Mah.,3,1,1,130,7,6,0.8571428571428571,7,0,0,1,1,0,0,17000
Tepebaşı,Cumhuriye Mah.,3,1,1,140,7,6,0.8571428571428571,25,1,0,0,0,0,0,20000
Tepebaşı,Hayriye Mah.,2,1,1,110,7,7,1.0,20,0,0,0,0,1,1,18000
Tepebaşı,Bahçelievler Mah.,2,0,1,75,5,3,0.6,13,0,0,0,0,0,1,14000
Tepebaşı,Yenibağlar Mah.,3,1,1,120,3,1,0.3333333333333333,8,0,0,1,1,0,0,16000
Tepebaşı,Sütlüce Mah.,1,1,1,65,4,3,0.75,5,1,0,0,0,0,0,10000
Odunpazarı,Büyükdere Mah.,2,1,1,90,3,2,0.6666666666666666,3,0,0,1,0,0,0,12500
Odunpazarı,Büyükdere Mah.,1,1,1,60,2,2,1.0,2,1,0,1,0,0,0,13000
Odunpazarı,Alanönü Mah.,2,1,1,100,5,5,1.0,20,0,0,0,0,0,0,15000
Odunpazarı,Emek Mah.,1,1,1,70,3,1,0.3333333333333333,10,0,0,1,0,0,0,9000
Tepebaşı,Batıkent Mah.,3,1,2,140,13,3,0.23076923076923078,20,0,0,1,1,0,1,18000
Tepebaşı,Yenibağlar Mah.,1,1,1,55,4,3,0.75,10,1,0,0,0,0,0,13000
Tepebaşı,Şirintepe Mah.,1,1,1,50,3,1,0.3333333333333333,10,0,1,1,1,0,0,9000
Odunpazarı,Erenköy Mah.,2,1,1,95,2,1,0.5,15,1,0,0,0,0,0,10000
Odunpazarı,Deliklitaş Mah.,3,1,1,110,3,2,0.6666666666666666,35,0,0,1,1,0,0,13000
Tepebaşı,Zafer Mah.,2,1,1,100,3,1,0.3333333333333333,25,0,1,1,1,0,1,8500
Tepebaşı,Eskibağlar Mah.,1,1,1,55,3,2,0.6666666666666666,10,1,0,1,1,0,0,10000
Tepebaşı,Şarhöyük Mah.,3,1,2,135,3,3,1.0,4,0,0,0,1,0,0,15000
Tepebaşı,Cumhuriye Mah.,2,1,1,60,4,1,0.25,15,1,0,0,0,0,1,13000
Tepebaşı,Eskibağlar Mah.,1,1,1,45,4,3,0.75,11,0,0,0,0,1,0,10000
Odunpazarı,Büyükdere Mah.,3,1,1,125,3,2,0.6666666666666666,7,0,0,0,1,1,0,15000
Odunpazarı,Büyükdere Mah.,2,1,1,100,3,2,0.6666666666666666,5,0,0,1,1,0,0,13000
Odunpazarı,Yenidoğan Mah.,2,1,1,115,2,2,1.0,18,0,0,0,0,0,0,14000
Tepebaşı,Cumhuriye Mah.,3,1,1,100,3,3,1.0,21,1,0,0,0,0,0,30000
Odunpazarı,Vişnelik Mah.,3,1,1,125,10,3,0.3,21,0,0,0,0,0,0,18000
Tepebaşı,Şirintepe Mah.,1,1,1,55,3,2,0.6666666666666666,21,1,0,1,1,0,0,10000
Tepebaşı,Yeşiltepe Mah.,1,1,1,55,3,1,0.3333333333333333,5,1,0,0,1,0,1,10000
Odunpazarı,Arifiye Mah.,3,1,2,140,7,1,0.14285714285714285,30,0,1,0,0,0,0,22000
Tepebaşı,Şirintepe Mah.,3,1,1,150,3,2,0.6666666666666666,25,0,0,0,0,0,0,15000
Tepebaşı,Yenibağlar Mah.,1,1,1,55,4,3,0.75,16,0,0,0,0,0,1,11000
Tepebaşı,Şarhöyük Mah.,3,1,1,130,4,4,1.0,9,0,0,1,1,0,0,16500
Odunpazarı,Emek Mah.,2,0,1,65,3,3,1.0,5,0,0,0,1,0,0,8500
